Customer_base,State,Market,Area_Code
Middle Class,Connecticut,East,959
Middle Class,Connecticut,East,860
Middle Class,Connecticut,East,475
Middle Class,Connecticut,East,203
Middle Class,Iowa,Central,712
Middle Class,Iowa,Central,641
Middle Class,Iowa,Central,563
Middle Class,Iowa,Central,515
Middle Class,Iowa,Central,319
Middle Class,Louisiana,South,985
Middle Class,Louisiana,South,504
Middle Class,Louisiana,South,337
Middle Class,Louisiana,South,318
Middle Class,Louisiana,South,225
Middle Class,Missouri,Central,816
Middle Class,Missouri,Central,660
Middle Class,Missouri,Central,636
Middle Class,Missouri,Central,573
Middle Class,Missouri,Central,417
Middle Class,Missouri,Central,314
Middle Class,Nevada,West,775
Middle Class,Nevada,West,702
Middle Class,New Hampshire,East,603
Middle Class,New Mexico,South,505
Middle Class,Oklahoma,South,918
Middle Class,Oklahoma,South,580
Middle Class,Oklahoma,South,405
Middle Class,Oregon,West,971
Middle Class,Oregon,West,541
Middle Class,Oregon,West,503
Middle Class,Utah,West,801
Middle Class,Utah,West,435
Middle Class,Washington,West,509
Middle Class,Washington,West,425
Middle Class,Washington,West,360
Middle Class,Washington,West,253
Middle Class,Washington,West,206
Middle Class,Wisconsin,Central,920
Middle Class,Wisconsin,Central,715
Middle Class,Wisconsin,Central,608
Middle Class,Wisconsin,Central,414
Middle Class,Wisconsin,Central,262
Upper Class,California,West,951
Upper Class,California,West,949
Upper Class,California,West,925
Upper Class,California,West,916
Upper Class,California,West,909
Upper Class,California,West,858
Upper Class,California,West,831
Upper Class,California,West,818
Upper Class,California,West,805
Upper Class,California,West,760
Upper Class,California,West,714
Upper Class,California,West,707
Upper Class,California,West,661
Upper Class,California,West,650
Upper Class,California,West,626
Upper Class,California,West,619
Upper Class,California,West,562
Upper Class,California,West,559
Upper Class,California,West,530
Upper Class,California,West,510
Upper Class,California,West,415
Upper Class,California,West,408
Upper Class,California,West,323
Upper Class,California,West,310
Upper Class,California,West,213
Upper Class,California,West,209
Upper Class,Colorado,Central,970
Upper Class,Colorado,Central,720
Upper Class,Colorado,Central,719
Upper Class,Colorado,Central,303
Upper Class,Florida,East,954
Upper Class,Florida,East,941
Upper Class,Florida,East,904
Upper Class,Florida,East,863
Upper Class,Florida,East,850
Upper Class,Florida,East,813
Upper Class,Florida,East,786
Upper Class,Florida,East,772
Upper Class,Florida,East,754
Upper Class,Florida,East,727
Upper Class,Florida,East,561
Upper Class,Florida,East,407
Upper Class,Florida,East,386
Upper Class,Florida,East,352
Upper Class,Florida,East,321
Upper Class,Florida,East,305
Upper Class,Florida,East,239
Upper Class,Illinois,Central,847
Upper Class,Illinois,Central,815
Upper Class,Illinois,Central,773
Upper Class,Illinois,Central,708
Upper Class,Illinois,Central,630
Upper Class,Illinois,Central,618
Upper Class,Illinois,Central,312
Upper Class,Illinois,Central,309
Upper Class,Illinois,Central,224
Upper Class,Illinois,Central,217
Upper Class,Massachusetts,East,978
Upper Class,Massachusetts,East,857
Upper Class,Massachusetts,East,781
Upper Class,Massachusetts,East,774
Upper Class,Massachusetts,East,617
Upper Class,Massachusetts,East,508
Upper Class,Massachusetts,East,413
Upper Class,Massachusetts,East,351
Upper Class,Massachusetts,East,339
Upper Class,New York,East,917
Upper Class,New York,East,914
Upper Class,New York,East,845
Upper Class,New York,East,718
Upper Class,New York,East,716
Upper Class,New York,East,646
Upper Class,New York,East,631
Upper Class,New York,East,607
Upper Class,New York,East,585
Upper Class,New York,East,518
Upper Class,New York,East,516
Upper Class,New York,East,347
Upper Class,New York,East,315
Upper Class,New York,East,212
Upper Class,Ohio,Central,937
Upper Class,Ohio,Central,740
Upper Class,Ohio,Central,614
Upper Class,Ohio,Central,567
Upper Class,Ohio,Central,513
Upper Class,Ohio,Central,440
Upper Class,Ohio,Central,419
Upper Class,Ohio,Central,330
Upper Class,Ohio,Central,234
Upper Class,Ohio,Central,216
Upper Class,Texas,South,979
Upper Class,Texas,South,972
Upper Class,Texas,South,956
Upper Class,Texas,South,940
Upper Class,Texas,South,936
Upper Class,Texas,South,915
Upper Class,Texas,South,903
Upper Class,Texas,South,832
Upper Class,Texas,South,830
Upper Class,Texas,South,817
Upper Class,Texas,South,806
Upper Class,Texas,South,713
Upper Class,Texas,South,682
Upper Class,Texas,South,512
Upper Class,Texas,South,469
Upper Class,Texas,South,432
Upper Class,Texas,South,430
Upper Class,Texas,South,409
Upper Class,Texas,South,361
Upper Class,Texas,South,325
Upper Class,Texas,South,281
Upper Class,Texas,South,254
Upper Class,Texas,South,214
Upper Class,Texas,South,210
