Actual_Profit,Target_Profit,Actual_Revenue,Target_Revenue,Actual_Cost,Target_Cost,Stock Wastage,Total Stock,Area_Code,Trans_Date,MenuID
94,100,219,220,89,90,24,777,719,01/01/2018,1
68,80,190,190,83,80,27,623,970,01/01/2018,2
101,110,234,240,95,100,26,821,970,01/01/2018,3
30,30,100,80,44,30,14,623,303,01/01/2018,13
54,70,134,150,54,60,15,456,303,01/01/2018,5
53,80,180,210,72,80,23,558,720,01/01/2018,6
99,110,341,300,170,140,47,1091,970,01/01/2018,8
0,20,150,130,63,50,57,435,719,01/01/2018,9
33,40,140,120,60,50,19,336,970,01/01/2018,10
17,20,130,110,58,40,22,338,719,01/01/2018,11
36,40,140,120,64,50,19,965,303,01/01/2018,12
111,130,345,360,144,150,47,862,217,01/01/2018,2
87,100,234,240,95,100,30,608,309,01/01/2018,3
203,260,546,640,234,270,77,1310,309,01/01/2018,5
140,180,456,530,228,260,63,1459,630,01/01/2018,6
95,100,219,190,89,70,24,777,312,01/01/2018,8
68,60,190,160,83,70,27,623,630,01/01/2018,9
101,100,234,200,95,80,26,821,773,01/01/2018,10
53,50,134,110,54,40,15,456,217,01/01/2018,11
54,40,180,150,72,60,23,558,708,01/01/2018,12
11,20,45,40,18,10,5,821,319,01/01/2018,1
5,20,62,60,28,20,8,965,641,01/01/2018,2
12,20,54,50,23,20,7,623,712,01/01/2018,3
11,30,43,50,17,10,4,777,563,01/01/2018,5
10,30,43,50,17,10,4,777,563,01/01/2018,6
202,200,546,480,234,200,77,1310,641,01/01/2018,8
86,90,234,200,95,80,30,608,563,01/01/2018,9
141,140,456,400,228,190,63,1459,712,01/01/2018,11
175,160,546,480,245,210,93,1419,319,01/01/2018,12
39,40,190,190,85,90,32,494,636,01/01/2018,2
47,50,170,170,78,80,24,965,573,01/01/2018,3
-4,0,76,60,34,20,12,197,417,01/01/2018,13
48,70,123,140,50,50,14,821,573,01/01/2018,5
45,60,114,130,46,50,12,777,660,01/01/2018,6
-11,0,90,70,37,30,34,261,573,01/01/2018,8
-39,-20,99,80,88,70,27,525,314,01/01/2018,9
9,10,82,70,35,30,11,196,314,01/01/2018,11
-9,-10,65,50,29,20,11,169,573,01/01/2018,12
34,50,140,140,60,60,19,336,740,01/01/2018,1
42,50,140,140,57,60,18,364,614,01/01/2018,2
0,20,150,150,63,60,57,435,614,01/01/2018,3
67,60,200,170,84,70,26,500,216,01/01/2018,12
16,40,130,150,58,60,22,338,614,01/01/2018,6
99,140,341,400,170,190,47,1091,614,01/01/2018,5
29,50,80,70,32,20,8,456,937,01/01/2018,8
29,50,80,70,32,20,8,821,740,01/01/2018,9
68,60,210,180,84,70,27,651,567,01/01/2018,11
13,30,120,120,54,50,20,312,262,01/01/2018,1
9,20,190,190,79,80,72,551,262,01/01/2018,2
51,60,180,180,77,80,25,432,414,01/01/2018,3
7,10,180,150,75,60,68,522,262,01/01/2018,12
34,50,110,120,48,50,15,623,262,01/01/2018,6
38,50,150,170,69,80,21,965,414,01/01/2018,5
70,80,180,150,67,50,20,400,715,01/01/2018,8
28,50,81,70,33,20,9,777,715,01/01/2018,9
47,50,150,130,61,50,19,390,608,01/01/2018,11
47,60,123,130,50,50,14,821,475,01/01/2018,11
35,40,94,100,38,40,10,777,475,01/01/2018,13
30,40,130,120,55,50,18,312,475,01/01/2018,6
7,20,180,170,75,70,68,522,860,01/01/2018,5
115,130,310,290,124,110,40,961,475,01/01/2018,2
40,40,190,140,85,60,32,494,860,01/01/2018,9
47,50,170,130,78,50,24,965,475,01/01/2018,10
28,40,80,80,32,30,8,821,954,01/01/2018,11
28,40,81,80,33,30,9,777,754,01/01/2018,13
50,60,180,170,77,70,25,432,754,01/01/2018,6
9,30,190,180,79,70,72,551,239,01/01/2018,5
67,70,200,190,84,80,26,500,754,01/01/2018,3
68,70,210,190,84,80,27,651,954,01/01/2018,2
34,30,110,80,48,30,15,623,863,01/01/2018,8
13,20,120,90,54,40,20,312,239,01/01/2018,9
39,40,150,110,69,50,21,965,772,01/01/2018,10
29,40,80,80,32,30,8,821,508,01/01/2018,11
29,40,80,80,32,30,8,456,781,01/01/2018,13
100,110,341,330,170,160,47,1091,978,01/01/2018,7
-23,-10,126,120,63,60,57,435,781,01/01/2018,5
367,360,494,460,72,60,23,558,413,01/01/2018,2
17,30,130,100,58,40,22,338,339,01/01/2018,9
10,20,45,40,18,10,5,821,603,01/01/2018,11
11,20,43,40,17,10,4,777,603,01/01/2018,13
-8,0,65,60,29,20,11,169,603,01/01/2018,7
-10,0,90,80,37,30,34,261,603,01/01/2018,5
20,30,93,80,38,30,12,241,603,01/01/2018,1
25,40,120,110,48,40,15,372,603,01/01/2018,2
-4,0,76,50,34,20,12,197,603,01/01/2018,9
101,120,234,250,95,100,26,821,347,01/01/2018,11
94,110,219,230,89,90,24,777,646,01/01/2018,12
54,70,134,140,54,50,15,456,347,01/01/2018,13
175,200,490,480,228,210,63,1459,631,01/01/2018,7
-172,-170,61,50,105,100,95,725,315,01/01/2018,5
262,260,678,640,271,260,94,2101,716,01/01/2018,2
111,100,483,370,245,180,93,1419,607,01/01/2018,9
-113,-70,180,140,207,150,64,965,845,01/01/2018,10
70,80,180,150,67,50,20,400,337,01/01/2018,5
48,50,150,120,61,50,19,390,337,01/01/2018,6
35,40,112,100,49,40,16,623,337,01/01/2018,8
40,40,190,180,85,80,32,494,504,01/01/2018,9
8,10,180,150,75,60,68,522,504,01/01/2018,4
30,50,85,100,34,40,9,777,225,01/01/2018,2
28,50,81,100,33,40,9,777,985,01/01/2018,3
-10,-10,90,70,37,30,34,261,505,01/01/2018,5
9,10,82,70,35,30,11,196,505,01/01/2018,6
11,20,45,40,18,10,5,821,505,01/01/2018,8
4,20,62,60,28,20,8,965,505,01/01/2018,9
-8,0,65,50,29,20,11,169,505,01/01/2018,4
26,50,120,150,48,60,15,372,505,01/01/2018,2
-39,-30,99,120,88,110,27,525,505,01/01/2018,3
28,40,80,60,32,20,8,456,405,01/01/2018,5
67,70,210,180,84,70,27,651,405,01/01/2018,6
13,20,120,110,54,50,20,312,918,01/01/2018,8
10,30,190,180,79,70,72,551,580,01/01/2018,9
66,70,200,170,84,70,26,500,405,01/01/2018,4
29,50,100,120,44,50,14,623,580,01/01/2018,2
28,50,80,100,32,40,8,821,580,01/01/2018,3
95,90,219,180,89,70,24,777,325,01/01/2018,5
54,60,134,110,54,40,15,456,956,01/01/2018,6
33,50,140,130,60,50,19,336,281,01/01/2018,8
42,50,140,130,57,50,18,364,254,01/01/2018,9
53,50,180,150,72,60,23,558,830,01/01/2018,4
159,220,452,560,207,260,64,965,409,01/01/2018,2
68,100,190,230,83,100,27,623,325,01/01/2018,3
44,40,114,100,46,40,12,777,435,01/01/2018,4
34,40,112,100,49,40,16,623,435,01/01/2018,5
47,50,123,110,50,40,14,821,435,01/01/2018,6
21,30,93,80,38,30,12,241,801,01/01/2018,8
25,30,120,100,48,40,15,372,435,01/01/2018,9
-40,-30,99,80,88,70,27,525,435,01/01/2018,10
-10,0,90,60,37,20,34,261,435,01/01/2018,11
9,10,82,50,35,20,11,196,435,01/01/2018,12
-9,10,65,40,29,10,11,169,435,01/01/2018,13
47,80,170,210,78,90,24,965,801,01/01/2018,1
30,70,130,160,55,60,18,312,435,01/01/2018,2
39,70,190,230,85,100,32,494,801,01/01/2018,3
140,150,456,430,228,210,63,1459,661,01/01/2018,4
17,20,250,240,105,100,95,725,818,01/01/2018,5
203,200,546,520,234,220,77,1310,213,01/01/2018,6
102,100,234,200,95,80,26,821,510,01/01/2018,8
160,160,452,390,207,170,64,965,310,01/01/2018,9
67,60,190,160,83,70,27,623,707,01/01/2018,10
94,80,219,140,89,50,24,777,619,01/01/2018,11
54,60,134,90,54,30,15,456,650,01/01/2018,12
54,50,180,120,72,40,23,558,760,01/01/2018,13
-2,30,145,180,95,110,30,608,916,01/01/2018,1
262,370,678,840,271,340,94,2101,559,01/01/2018,2
-117,-120,118,140,144,180,47,862,650,01/01/2018,3
11,20,43,40,17,10,4,777,775,01/01/2018,4
10,20,45,40,18,10,5,821,702,01/01/2018,5
11,20,43,40,17,10,4,777,775,01/01/2018,6
4,20,62,70,28,30,8,965,775,01/01/2018,3
16,30,250,220,105,90,95,725,702,01/01/2018,8
111,120,345,300,144,120,47,862,775,01/01/2018,9
86,90,234,200,95,80,30,608,702,01/01/2018,10
203,150,546,370,234,150,77,1310,775,01/01/2018,11
141,100,456,310,228,150,63,1459,775,01/01/2018,12
-354,-240,17,0,245,160,93,1419,702,01/01/2018,13
-3,10,76,90,34,40,12,197,702,01/01/2018,2
16,20,130,120,58,50,22,338,503,01/01/2018,4
33,50,140,130,60,50,19,336,503,01/01/2018,5
99,100,341,320,170,160,47,1091,971,01/01/2018,6
42,70,140,170,57,70,18,364,971,01/01/2018,3
33,40,90,70,36,30,10,777,971,01/01/2018,8
29,30,100,80,44,30,14,623,503,01/01/2018,9
28,30,80,50,32,20,8,456,971,01/01/2018,11
68,60,210,140,84,50,27,651,503,01/01/2018,12
67,50,200,130,84,50,26,500,541,01/01/2018,13
1,40,150,180,63,70,57,435,541,01/01/2018,1
28,60,160,200,67,80,22,400,503,01/01/2018,2
35,40,110,100,48,40,15,623,425,01/01/2018,4
13,20,120,110,54,50,20,312,253,01/01/2018,5
39,60,150,140,69,60,21,965,206,01/01/2018,6
9,60,190,230,79,90,72,551,509,01/01/2018,3
115,120,310,270,124,100,40,961,206,01/01/2018,8
30,50,85,70,34,20,9,777,360,01/01/2018,9
70,50,180,120,67,40,20,400,360,01/01/2018,11
48,40,150,100,61,40,19,390,253,01/01/2018,12
8,20,180,120,75,40,68,522,360,01/01/2018,13
38,70,130,160,53,60,16,338,206,01/01/2018,2
105,120,243,250,99,100,27,766,303,01/02/2018,1
68,80,190,190,83,80,27,613,720,01/02/2018,2
99,110,232,240,95,100,26,809,719,01/02/2018,3
30,30,100,80,44,30,14,618,970,01/02/2018,13
80,110,189,220,77,80,21,449,970,01/02/2018,5
59,90,189,220,75,80,24,549,303,01/02/2018,6
99,100,340,290,170,140,47,1073,970,01/02/2018,8
-3,10,129,110,54,40,49,427,970,01/02/2018,9
33,40,140,120,60,50,19,329,303,01/02/2018,10
18,10,132,110,59,50,22,331,719,01/02/2018,11
34,30,136,110,62,50,19,958,720,01/02/2018,12
115,140,354,370,148,150,48,844,312,01/02/2018,2
95,100,254,260,104,110,33,596,847,01/02/2018,3
201,260,545,640,234,270,77,1282,708,01/02/2018,5
142,180,457,530,228,260,63,1436,312,01/02/2018,6
105,110,243,210,99,80,27,766,815,01/02/2018,8
68,60,190,160,83,70,27,613,773,01/02/2018,9
99,100,232,200,95,80,26,809,847,01/02/2018,10
79,80,189,160,77,60,21,449,309,01/02/2018,11
59,50,189,160,75,60,24,549,630,01/02/2018,12
10,20,45,40,18,10,5,818,712,01/02/2018,1
6,20,63,60,28,20,8,961,319,01/02/2018,2
12,20,54,50,23,20,7,620,712,01/02/2018,3
11,20,47,50,19,20,5,774,319,01/02/2018,5
32,40,43,50,0,0,0,774,712,01/02/2018,6
201,190,545,470,234,200,77,1282,563,01/02/2018,8
95,110,254,220,104,80,33,596,563,01/02/2018,9
141,140,457,400,228,190,63,1436,563,01/02/2018,11
169,150,534,460,240,200,91,1391,515,01/02/2018,12
42,50,193,200,86,90,32,484,314,01/02/2018,2
46,60,165,170,75,70,23,956,816,01/02/2018,3
-4,0,74,60,33,20,12,193,573,01/02/2018,13
48,70,123,140,50,50,14,814,573,01/02/2018,5
38,60,103,120,42,40,11,771,573,01/02/2018,6
-8,10,104,90,43,30,39,256,636,01/02/2018,8
-32,-20,102,80,84,70,26,625,417,01/02/2018,9
9,10,82,70,35,30,11,191,816,01/02/2018,11
-7,-10,68,50,30,20,11,165,314,01/02/2018,12
33,50,140,140,60,60,19,329,937,01/02/2018,1
38,50,128,130,52,50,16,357,513,01/02/2018,2
-3,20,129,130,54,50,49,427,614,01/02/2018,3
62,60,200,170,80,60,26,640,614,01/02/2018,11
71,70,206,180,86,70,26,490,513,01/02/2018,12
18,40,132,150,59,60,22,331,614,01/02/2018,6
98,140,340,400,170,190,47,1073,234,01/02/2018,5
17,30,56,40,22,10,6,452,330,01/02/2018,8
28,50,80,70,32,20,8,817,740,01/02/2018,9
12,30,118,120,53,50,20,306,262,01/02/2018,1
15,40,220,230,92,90,83,541,920,01/02/2018,2
50,60,180,180,77,80,25,423,414,01/02/2018,3
